txn_date,amount,category,counterparty,currency,txn_id
2024-02-28,-615.86,Fee,Sterling & Rowe,USD,TX1000000
2024-10-16,-314.63,Wire Out,Silverline Media,USD,TX1000001
2024-02-25,-123.97,ACH Debit,Summit Freight Co,USD,TX1000002
2024-07-31,-2185.98,Wire Out,Windward Shipping,USD,TX1000003
2024-04-22,-115.53,Wire Out,Meridian Capital LLC,USD,TX1000004
2024-05-31,-3552.19,Wire Out,Evergreen Payroll,USD,TX1000005
2024-01-31,-43712.86,Card Payment,Evergreen Payroll,USD,TX1000006
2024-12-11,-4570.77,Card Payment,Halcyon Asset Mgmt,USD,TX1000007
2024-01-05,-3199.18,Card Payment,Apex Global Markets,USD,TX1000008
2024-02-22,42.71,Wire In,Apex Global Markets,USD,TX1000009
2024-12-04,-1926.33,Fee,Apex Global Markets,USD,TX1000010
2024-06-18,-904.07,Card Payment,Apex Global Markets,USD,TX1000011
2024-03-07,-33038.28,Card Payment,Kestrel Analytics,USD,TX1000012
2024-08-06,-940.0,Fee,Monarch Realty,USD,TX1000013
2024-06-24,-128.5,Card Payment,Apex Global Markets,USD,TX1000014
2024-07-16,-13.25,Fee,Quartz Petroleum,USD,TX1000015
2024-07-20,-2454.9,ACH Debit,Apex Global Markets,USD,TX1000016
2024-10-15,-396.89,Wire Out,Blue Harbor Trading,USD,TX1000017
2024-09-28,-1114.28,Card Payment,Redwood Securities,USD,TX1000018
2024-09-24,3016.53,Interest,Juniper Health Grp,USD,TX1000019
2024-08-25,6008.7,ACH Credit,Silverline Media,USD,TX1000020
2024-05-11,-6994.66,Wire Out,Halcyon Asset Mgmt,USD,TX1000021
2024-09-05,-1910.45,Card Payment,Copperfield & Co,USD,TX1000022
2024-02-24,-73.0,Wire Out,Monarch Realty,USD,TX1000023
2024-05-04,33.04,Wire In,Apex Global Markets,USD,TX1000024
2024-09-30,-268.17,Wire Out,Crestline Bank,USD,TX1000025
2024-06-14,16.4,ACH Credit,Crestline Bank,USD,TX1000026
2024-12-21,114.44,ACH Credit,Apex Global Markets,USD,TX1000027
2024-08-25,-218.27,ACH Debit,Beacon Insurance,USD,TX1000028
2024-12-14,36.05,Wire In,Nimbus Cloud Svcs,USD,TX1000029
2024-01-12,-658.25,ACH Debit,Apex Global Markets,USD,TX1000030
2024-10-16,-154.24,Card Payment,Quartz Petroleum,USD,TX1000031
2024-07-02,1936.5,Wire In,Apex Global Markets,USD,TX1000032
2024-01-18,25.84,Interest,Meridian Capital LLC,USD,TX1000033
2024-10-09,-33968.94,FX Settlement,Sterling & Rowe,USD,TX1000034
2024-03-10,369.32,Wire In,Veranda Hospitality,USD,TX1000035
2024-09-11,-12.61,Card Payment,Onyx Consulting,USD,TX1000036
2024-08-06,-41.61,Fee,Sterling & Rowe,USD,TX1000037
2024-08-23,-3417.58,ACH Debit,Beacon Insurance,USD,TX1000038
2024-01-03,-38.84,Card Payment,Apex Global Markets,USD,TX1000039
2024-02-16,8805.68,ACH Credit,Northgate Partners,USD,TX1000040
2024-09-15,-48228.88,Wire Out,Sterling & Rowe,USD,TX1000041
2024-06-10,-1480.04,Wire Out,Monarch Realty,USD,TX1000042
2024-05-09,-76.1,Card Payment,Cobalt Networks,USD,TX1000043
2024-10-03,17.87,Interest,Blue Harbor Trading,USD,TX1000044
2024-01-15,32788.8,Wire In,Redwood Securities,USD,TX1000045
2024-09-17,-3158.25,ACH Debit,Nimbus Cloud Svcs,USD,TX1000046
2024-02-25,-23632.09,FX Settlement,Apex Global Markets,USD,TX1000047
2024-01-16,-20698.74,ACH Debit,Coastal Union Bank,USD,TX1000048
2024-03-28,254.44,Wire In,Granite Peak LLC,USD,TX1000049
2024-01-05,-15361.28,Card Payment,Larkspur Foods,USD,TX1000050
2024-01-09,-100.82,Fee,Lakeside Trust,USD,TX1000051
2024-09-12,-5116.83,Wire Out,Ashford Legal LLP,USD,TX1000052
2024-07-01,49810.03,Wire In,Pinnacle Ventures,USD,TX1000053
2024-08-25,-7614.78,Wire Out,Sable River Mining,USD,TX1000054
2024-08-16,-43.49,Card Payment,Monarch Realty,USD,TX1000055
2024-09-19,2657.98,ACH Credit,Monarch Realty,USD,TX1000056
2024-02-04,52.22,Wire In,Sterling & Rowe,USD,TX1000057
2024-03-30,-66.91,Wire Out,Northgate Partners,USD,TX1000058
2024-02-25,-15.99,Fee,Northgate Partners,USD,TX1000059
2024-11-16,398.04,Wire In,Nimbus Cloud Svcs,USD,TX1000060
2024-12-03,4767.1,Wire In,Beacon Insurance,USD,TX1000061
2024-08-10,-681.51,ACH Debit,Aurora Payments,USD,TX1000062
2024-09-02,-1982.74,Card Payment,Windward Shipping,USD,TX1000063
2024-09-25,1956.37,Wire In,Granite Peak LLC,USD,TX1000064
2024-03-02,-48.56,FX Settlement,Sterling & Rowe,USD,TX1000065
2024-06-30,-789.49,Wire Out,Kestrel Analytics,USD,TX1000066
2024-03-31,-109.72,Card Payment,Sterling & Rowe,USD,TX1000067
2024-08-02,1974.93,Wire In,Blue Harbor Trading,USD,TX1000068
2024-01-02,-23.33,Wire Out,Monarch Realty,USD,TX1000069
2024-04-22,-285.24,Wire Out,Redwood Securities,USD,TX1000070
2024-11-05,-41.51,ACH Debit,Northgate Partners,USD,TX1000071
2024-12-18,22663.08,Interest,Blue Harbor Trading,USD,TX1000072
2024-05-28,-18.1,FX Settlement,Apex Global Markets,USD,TX1000073
2024-09-25,-1641.31,Wire Out,Cobalt Networks,USD,TX1000074
2024-03-27,252.33,Interest,Granite Peak LLC,USD,TX1000075
2024-01-08,-57.1,Wire Out,Orion Systems Inc,USD,TX1000076
2024-09-02,5648.24,Wire In,Northgate Partners,USD,TX1000077
2024-03-11,418.57,Wire In,Apex Global Markets,USD,TX1000078
2024-11-23,-28.55,Wire Out,Vanguard Logistics,USD,TX1000079
2024-02-22,-827.76,ACH Debit,Meridian Capital LLC,USD,TX1000080
2024-12-18,-3565.26,Wire Out,Northgate Partners,USD,TX1000081
2024-04-02,475.91,ACH Credit,Beacon Insurance,USD,TX1000082
2024-04-18,188.53,ACH Credit,Monarch Realty,USD,TX1000083
2024-10-08,12217.55,Interest,Apex Global Markets,USD,TX1000084
2024-03-31,-4172.48,FX Settlement,Windward Shipping,USD,TX1000085
2024-03-22,-77.11,ACH Debit,Onyx Consulting,USD,TX1000086
2024-07-14,-44.31,Card Payment,Windward Shipping,USD,TX1000087
2024-09-20,-30469.12,Fee,Redwood Securities,USD,TX1000088
2024-06-09,-48.32,Wire Out,Pinnacle Ventures,USD,TX1000089
2024-05-31,8027.01,ACH Credit,Silverline Media,USD,TX1000090
2024-05-04,-4284.83,Card Payment,Apex Global Markets,USD,TX1000091
2024-09-18,643.13,ACH Credit,Kestrel Analytics,USD,TX1000092
2024-11-19,-843.84,Wire Out,Driftwood Leasing,USD,TX1000093
2024-07-16,-34673.31,Card Payment,Blue Harbor Trading,USD,TX1000094
2024-02-01,15.1,ACH Credit,Redwood Securities,USD,TX1000095
2024-08-18,-116.19,Card Payment,Blue Harbor Trading,USD,TX1000096
2024-10-15,-11.2,Fee,Crestline Bank,USD,TX1000097
2024-04-14,21920.89,ACH Credit,Apex Global Markets,USD,TX1000098
2024-04-08,-45021.77,Card Payment,Evergreen Payroll,USD,TX1000099
2024-09-10,2206.52,ACH Credit,Apex Global Markets,USD,TX1000100
